SOUTH MORANG,230.752605,136.583138,276.761302,142.703308
Epping,262.1626,147.580606,278.433987,153.602646
CRAIGIEBURN,139.1338,154.330341,178.660799,160.45051
Lalor,266.811079,158.077609,278.431653,164.099649
Roxburgh Park,146.069992,165.227858,180.450367,171.249898
Coolaroo,159.106425,176.484599,180.455745,182.50664
Gowrie,206.766276,191.477723,223.234955,197.499764
Jacana,163.732503,198.909377,180.450637,204.931417
Oak Park,159.285697,221.344833,180.45167,227.366874
Pascoe Vale,152.25654,232.572891,180.45167,238.594931
Strathmore,154.559996,243.800949,180.450637,249.822989
Showgrounds,141.852233,294.28128,147.874282,296.10728
FLEMINGTON RACECOURSE,126.355776,290.153976,135.252678,295.62942
St Albans,91.267686,300.05159,107.148622,306.07363
Ginifer,93.317555,308.325439,108.457357,314.347479
Albion,101.591405,316.604453,116.210088,322.626493
Preston,260.561792,225.435626,278.425972,231.457666
Coburg,206.783808,236.706781,224.156309,242.728821
Bell,269.796275,236.668848,278.423906,242.690889
Greensborough,385.57852,207.576093,421.893591,213.598134
Watsonia,378.342775,215.519402,399.793324,221.541442
Macleod,370.399466,223.462711,390.507193,229.484751
Rosanna,362.456158,231.406019,382.935226,237.428059
Heidelberg,354.518014,239.344163,379.815747,245.366203
Eaglemont,346.574705,247.287472,371.366298,253.309512
Thornbury,254.477775,247.896906,278.428038,253.918946
Ivanhoe,338.631397,255.23078,356.776021,261.25282
Croxton,259.916204,259.124964,278.422874,265.147004
Darebin,330.688088,263.174089,348.764538,269.196129
Northcote,255.221492,270.358187,278.42339,276.380227
Alphington,322.295451,271.117397,347.20015,277.139438
Fairfield,314.806636,279.060706,333.229121,285.082746
Merri,266.428891,281.586244,278.42339,287.608285
Jewell,206.783808,281.624177,221.119465,287.646217
Ascot Vale,156.150724,288.718345,180.451154,294.740385
Keilor Plains,76.769857,291.77774,104.982547,297.799781
Batman,206.783808,225.860911,224.813775,231.882951
Brunswick,206.783808,270.396119,230.947889,276.418159
Moonee Ponds,145.459795,277.490287,180.453736,283.512327
Watergardens,67.519879,282.527763,99.920108,288.549803
Regent,261.770331,214.207568,278.430621,220.229608
Anstey,206.783808,259.162896,222.56145,265.184937
Essendon,157.426405,266.262229,180.450637,272.284269
Diggers Rest,59.199547,274.202266,89.01691,280.224306
Montmorency,394.219063,199.632785,426.345563,205.654825
Reservoir,256.414537,202.97951,278.427005,209.001551
Merlynston,206.783808,214.245501,232.525189,220.267541
Moreland,206.783808,247.934839,228.695564,253.956879
Glenbervie,155.376019,255.029007,180.450637,261.051047
Diamond Creek,410.10568,183.751332,446.096408,189.773372
Eltham,402.162371,191.689476,418.149184,197.711516
Ruthven,259.38424,191.761782,278.430104,197.783822
Fawkner,206.766276,203.372028,226.396268,209.394068
Glenroy,162.451658,210.101281,180.45167,216.123322
